"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","extracts fields from LinkedIn job pages","JD Extractor","2026-06-07","passed","2026-06-07","","LinkedIn extractor","",""
"","6","fitReasoning is populated","","2026-06-07","passed","2026-06-07","","valid LLM response","com.jd.pipeline.nodes.ScoreFitNodeProcessTest$ValidResponse","fitReasoningPopulated"
"","0","returns empty list when no matching URLs found","","2026-06-07","passed","2026-06-07","","extractGlassdoorJobUrls","com.jd.pipeline.nodes.scan.digest.GlassdoorDigestStrategyTest$ExtractJobUrls","emptyWhenNoUrls"
"","0","JOB_SIGNAL_PATTERN does not match non-job content","","2026-06-07","passed","2026-06-07","","ScanEmailNodeTest","com.jd.pipeline.nodes.ScanEmailNodeTest","jobSignalNoMatch"
"","244","search should deduplicate by jobId across multiple pages","","2026-06-07","passed","2026-06-07","","JSearchClientTest","com.jd.pipeline.client.JSearchClientTest","testSearchDeduplicatesAcrossPages"
"","13","setArtifacts serializes and deserializes ArtifactUrls()","","2026-06-07","passed","2026-06-07","","com.jdbridge.unit.StoreSetArtifactsTest","com.jdbridge.unit.StoreSetArtifactsTest","setArtifacts serializes and deserializes ArtifactUrls"
"","1","calls LLM and stores trimmed summary","","2026-06-07","passed","2026-06-07","","SummaryRewriteNodeTest","com.jd.pipeline.nodes.tailor.SummaryRewriteNodeTest","callsLlmAndStoresSummary"
"","1","returns null for blank string","","2026-06-07","passed","2026-06-07","","groupFor — unknown and edge cases","com.jd.pipeline.nodes.scan.digest.BoardRegistryTest$UnknownAndEdgeCases","blankInput"
"","2038","worker sleeps and retries when queue is empty","","2026-06-07","passed","2026-06-07","","WorkerCommandHandlerTest","com.jd.pipeline.cli.commands.WorkerCommandHandlerTest","workerSleepsOnEmptyQueue"
"","0","returns 'unknown' when no remote signal present","","2026-06-07","passed","2026-06-07","","inferRemotePolicy","com.jd.pipeline.nodes.scan.digest.DigestParseHelpersTest$InferRemotePolicy","unknownDefault"
"","0","monsterNotif()","","2026-06-07","passed","2026-06-07","","groupFor — exact domain matches","com.jd.pipeline.nodes.scan.digest.BoardRegistryTest$ExactDomainMatches","monsterNotif"
"","49","batch with two valid items returns 202 and two distinct job_ids()","","2026-06-07","passed","2026-06-07","","com.jdbridge.integration.BatchSubmitApiTest","com.jdbridge.integration.BatchSubmitApiTest","batch with two valid items returns 202 and two distinct job_ids"
"","0","non-empty location appears after company name in bullet format","","2026-06-07","passed","2026-06-07","","CandidateProfileRendererTest","com.jd.pipeline.utils.CandidateProfileRendererTest","nonEmptyLocationInBullets"
"","16","renderFromProfile uses tailored fields over base when provided","","2026-06-07","passed","2026-06-07","","Profile-to-HTML pipeline (renderFromProfile)","com.jd.pipeline.nodes.GenerateResumeHtmlNodeTest$ProfileToHtmlTests","shouldPreferTailoredFieldsOverBase"
"","5","buildPrompt includes current summary and ATS phrases","","2026-06-07","passed","2026-06-07","","SummaryRewriteNodeTest","com.jd.pipeline.nodes.tailor.SummaryRewriteNodeTest","buildPromptContent"
"","39","resolves immediately when content is available","Content Script","2026-06-07","passed","2026-06-07","","waitForContent function","",""
"","5","Should deserialize with null optional fields","","2026-06-07","passed","2026-06-07","","Jackson Deserialization Tests","com.jd.pipeline.models.JobListingTest$JacksonDeserializationTests","testDeserializeWithNullFields"
"","2","Should apply label to email","","2026-06-07","passed","2026-06-07","","GmailIntegrationTest","com.jd.pipeline.integration.GmailIntegrationTest","testApplyLabel"
"","1","process returns error when gapAnalysis is null","","2026-06-07","passed","2026-06-07","","BulletRewriteNodeProcessTest","com.jd.pipeline.nodes.tailor.BulletRewriteNodeProcessTest","errorWhenGapAnalysisNull"
"","32","interactiveEdit short-circuits when no __TODO__ markers remain","","2026-06-07","passed","2026-06-07","","GenerateCandidateProfileNodeTest","com.jd.pipeline.nodes.GenerateCandidateProfileNodeTest","shortCircuitsWhenClean"
"","393","test PDF filename falls back to Resume when candidateProfile is null()","","2026-06-07","passed","2026-06-07","","com.jd.pipeline.nodes.RenderResumePdfNodeTest","com.jd.pipeline.nodes.RenderResumePdfNodeTest","test PDF filename falls back to Resume when candidateProfile is null"
"","1","copy(error = ...) propagates error string correctly","","2026-06-07","passed","2026-06-07","","TailorStateTest","com.jd.pipeline.nodes.tailor.TailorStateTest","errorPropagation"
"","7","Should insert job record and return id","","2026-06-07","passed","2026-06-07","","SupabaseIntegrationTest","com.jd.pipeline.integration.SupabaseIntegrationTest","testInsertJobRecord"
"","2","Test formatScoredJobsTable handles N/A fit score","","2026-06-07","passed","2026-06-07","","FormatScoredJobsTable Tests","com.jd.pipeline.utils.JobFormatterTest$FormatScoredJobsTableTests","testFitScoreNA"
"","1","EducationEntry.dateRange with null endDate renders as Present","","2026-06-07","passed","2026-06-07","","CandidateProfileModelTest","com.jd.pipeline.models.CandidateProfileModelTest","educationEntryDateRange"
"","1","Roles missing from the LLM response keep their original bullets","","2026-06-07","passed","2026-06-07","","BulletRewriteNodeApplyTest","com.jd.pipeline.nodes.tailor.BulletRewriteNodeApplyTest","preservesOriginalsForMissingRoles"
"","0","returns empty list when no cards match the selector","","2026-06-07","passed","2026-06-07","","edge cases","com.jd.pipeline.nodes.scan.digest.JobLeadsDigestStrategyTest$EdgeCases","noMatchingCards"
"","0","Should build correct record from state","","2026-06-07","passed","2026-06-07","","SupabaseTrackNodeTest","com.jd.pipeline.nodes.SupabaseTrackNodeTest","testBuildRecordFromState"
"","6","invoke maps blank outputPath to null in result","","2026-06-07","passed","2026-06-07","","ProcessingPipelineTest","com.jd.pipeline.pipeline.ProcessingPipelineTest","invokeOutputPathNullWhenBlank"
"","1","progressive outputs default to null","","2026-06-07","passed","2026-06-07","","TailorStateTest","com.jd.pipeline.nodes.tailor.TailorStateTest","progressiveDefaults"
"","7","sets COMPLETE state and fires notification when bridge returns complete","pollForCompletion","2026-06-07","passed","2026-06-07","","","",""
"","0","Bullets missing from a role's response keep the original at that index","","2026-06-07","passed","2026-06-07","","BulletRewriteNodeApplyTest","com.jd.pipeline.nodes.tailor.BulletRewriteNodeApplyTest","preservesIndividualMissingBullets"
"","0","DEFAULT_SKILL_PROMPT carries the placeholder so substitution works without the resource file","","2026-06-07","passed","2026-06-07","","ScoreFitNodeTest","com.jd.pipeline.nodes.ScoreFitNodeTest","defaultPromptHasPlaceholder"
"","2477","posts batch summary to Discord","","2026-06-07","passed","2026-06-07","","Discord messages","com.jd.pipeline.cli.BatchNotificationServiceTest$DiscordMessages","postsBatchSummary"
"","4","shouldNotArchiveWhenErrorIsSet()","","2026-06-07","passed","2026-06-07","","com.jd.pipeline.cli.EmailLabelingServiceTest","com.jd.pipeline.cli.EmailLabelingServiceTest","shouldNotArchiveWhenErrorIsSet"
"","7","skippedReason contains hard gate description","","2026-06-07","passed","2026-06-07","","hard gate violations","com.jd.pipeline.nodes.ScoreFitNodeProcessTest$HardGates","skippedReasonContainsGate"
"","30","displays Supabase error message","Index Page","2026-06-07","passed","2026-06-07","","rendering","",""
"","1","extracts plain text from multipart/alternative with text/plain first","","2026-06-07","passed","2026-06-07","","plain text extraction","com.jd.pipeline.client.gmail.EmailParserTest$PlainText","extractsFromMultipartAlternative"
"","4","Should fetch and parse digest email with multiple jobs","","2026-06-07","passed","2026-06-07","","GmailIntegrationTest","com.jd.pipeline.integration.GmailIntegrationTest","testFetchDigestEmail"
"","1","returns greenhouse for greenhouse.io","JD Extractor","2026-06-07","passed","2026-06-07","","pickExtractor()","",""
"","7","strengths and gaps are populated from LLM response","","2026-06-07","passed","2026-06-07","","valid LLM response","com.jd.pipeline.nodes.ScoreFitNodeProcessTest$ValidResponse","strengthsAndGapsPopulated"
